Base_Scheme,Plays,Avg_EPA
5-1-5,1840,-0.03477591161229715
5-2-4,6692,-0.02275601568922579
4-3-4,7698,-0.022511261276450263
4-1-6,9748,-0.021774180295266073
3-2-6,2339,-0.017077508335026047
4-2-5,48437,-0.007442510226774807
3-3-5,1107,0.0004423332129266498
