Archetype_Lineup,2020,2021,2022,2023,2024
CB_1 | CB_4 | CB_4 | DI_0 | ED_0 | ED_2 | ED_2 | LB_0 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.0,0.253
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.015,0.288,0.132
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.316,0.272,0.055
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.008,0.752,0.233,0.044
CB_2 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.391,0.0,0.033
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.008,0.36,0.028
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.843,0.0,0.0,0.0,0.028
CB_2 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.466,0.0,0.022
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.253,0.0,0.0,0.144,0.022
CB_2 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.391,0.0,0.022
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.698,0.022
CB_2 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.474,0.0,0.017
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_3 | S_2 | S_4,0.0,0.0,0.0,0.299,0.017
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_2 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.0,0.283,0.011
CB_2 | CB_4 | DI_2 | DI_2 | ED_1 | ED_1 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.368,0.0,0.011
CB_4 | CB_4 | DI_0 | DI_2 | DI_3 | ED_1 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.008,0.366,0.006
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.443,0.006
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.383,0.704,0.006
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_1 | S_4,0.017,0.0,0.586,0.0,0.006
CB_1 | CB_4 | CB_4 | DI_0 | ED_1 | ED_2 | ED_2 | LB_0 | LB_1 | S_4 | S_4,0.0,0.332,0.0,0.0,0.006
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_4,0.0,0.348,0.0,0.0,0.006
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.03,0.283,0.006
CB_1 | CB_2 | CB_3 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | LB_0 | S_2 | S_4,0.0,0.275,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_0 | S_1,0.0,0.0,0.0,0.26,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_2 | ED_2 | ED_3 | LB_1 | LB_1 | S_1 | S_2,0.0,0.0,0.0,0.394,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_3 | LB_1 | S_1 | S_2 | S_4,0.0,0.0,0.278,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_1 | DI_1 | ED_1 | ED_3 | LB_1 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.903,0.0
CB_1 | CB_2 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_2 | LB_3 | S_1 | S_4,0.433,0.0,0.0,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.421,0.0,0.0
CB_1 | CB_2 | CB_3 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | S_2 | S_4 | S_4,0.0,0.526,0.0,0.0,0.0
CB_0 | CB_1 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.316,0.0,0.0,0.0
CB_1 | CB_2 | CB_3 | CB_4 | DI_1 | DI_2 | ED_0 | ED_2 | LB_3 | S_0 | S_4,0.0,0.0,0.353,0.0,0.0
CB_1 | CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_3 | S_0 | S_1,0.258,0.0,0.0,0.0,0.0
CB_0 | CB_4 | DI_0 | ED_0 | ED_2 | ED_3 | LB_1 | LB_1 | S_0 | S_2 | S_4,0.0,0.0,0.406,0.0,0.0
CB_0 | CB_4 | DI_0 | DI_0 | ED_0 | ED_3 | LB_1 | LB_1 | S_0 | S_2 | S_4,0.0,0.0,0.278,0.0,0.0
CB_0 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_3 | LB_1 | LB_3 | S_4 | S_4,0.0,0.0,0.0,0.333,0.0
CB_0 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_2 | S_4,0.0,0.332,0.0,0.0,0.0
CB_0 | CB_1 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.477,0.0
CB_1 | CB_4 | CB_4 | DI_0 | ED_1 | ED_2 | ED_2 | LB_0 | LB_0 | S_4 | S_4,0.0,0.38,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | ED_1 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.0,0.271,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_4,0.0,0.0,0.398,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.0,0.278,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.294,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.0,0.0,0.203,0.305,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_0 | LB_0 | S_2 | S_4,0.0,0.38,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.097,2.135,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_3 | LB_1 | LB_1 | S_0 | S_0,0.0,0.0,0.0,0.405,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_2 | LB_1 | LB_1 | S_0 | S_0,0.0,0.0,0.0,0.565,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.338,0.033,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.493,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_1 | ED_3 | LB_0 | LB_1 | S_0 | S_4,0.0,0.599,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | DI_2 | ED_2 | LB_0 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.277,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_1 | LB_1 | LB_2 | S_2 | S_2,0.0,0.0,0.0,0.626,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_2 | ED_0 | ED_2 | LB_1 | LB_1 | S_4 | S_4,0.0,0.049,0.0,0.538,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_0 | S_1 | S_4,0.0,0.0,0.413,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.008,0.504,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.105,0.615,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_2 | ED_0 | ED_2 | LB_1 | LB_3 | S_0 | S_4,0.0,0.0,0.286,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.263,0.044,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_3 | S_2 | S_4 | S_4,0.0,0.34,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_3 | ED_0 | ED_3 | LB_3 | S_2 | S_4 | S_4,0.0,0.299,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_1 | DI_3 | ED_0 | ED_0 | LB_0 | LB_0 | S_4 | S_4,0.0,0.413,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_1 | ED_0 | ED_0 | ED_1 | LB_1 | S_4 | S_4 | S_4,0.0,0.0,0.413,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | LB_1 | LB_1 | S_1 | S_2,0.281,0.0,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.294,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.388,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_1 | S_2,0.303,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.293,0.006,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.639,0.039,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_3 | LB_0 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.443,0.0
CB_1 | CB_2 | CB_4 | CB_4 | DI_0 | ED_0 | ED_1 | ED_3 | LB_1 | S_4 | S_4,0.0,0.0,0.504,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.316,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.256,0.072,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.068,0.582,0.0
CB_1 | CB_3 | CB_3 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.263,0.0,0.0
